gene	gene_name	HBR_R1	HBR_R2	HBR_R3	UHR_R1	UHR_R2	UHR_R3
ENSG00000008735	MAPK8IP2	416.886902350434	560.336605590285	499.053672939323	14.9577592170733	15.7214591015293	8.98457381443865
ENSG00000015475	BID	52.8927801185139	62.7502315638227	64.1365950406662	187.145666226858	117.913387079588	155.763747081818
ENSG00000025708	TYMP	22.3389284299991	27.9172821710878	31.2524171882403	57.200501032673	22.3025331198229	38.274592805503
ENSG00000025770	NCAPH2	77.3365305866056	89.0034966427813	85.2796206924308	219.86640795841	119.099265314245	164.419093886709
ENSG00000040608	RTN4R	71.0117087566356	100.398617634082	78.0501200701827	16.1417501837111	11.8355260129642	10.4911158285495
ENSG00000054611	TBC1D22A	34.9061631027685	61.9485437702618	43.248584427164	75.6886948732545	42.211153310188	75.1347246481568
ENSG00000056487	PHF21B	19.6289115070142	6.16108561933196	8.39375042985085	16.4045888913843	11.6281783066359	18.6959121088425
ENSG00000063515	GSC2	0	0	0	0	0	0
ENSG00000069998	CECR5	31.1785539272968	39.2676905592481	39.2570950653938	117.469266747208	79.3587158114603	130.685087199869
ENSG00000070010	UFD1L	34.459768622543	81.2640570025817	64.7508675432059	276.766349101175	204.102399554761	208.701166604886
ENSG00000070371	CLTCL1	21.336013651715	26.141340094241	54.3167036066884	92.2227277980302	80.4241872326319	127.800114532287
ENSG00000070413	DGCR2	266.853831414356	285.685345869592	297.872610864062	327.584644665226	240.722927543149	249.046806056729
ENSG00000073146	MOV10L1	9.40633910275854	6.95990253048741	10.29122716717	1.38050408747127	8.39095499600295	0.59464805750282
ENSG00000073150	PANX2	56.4003376595139	70.1915524529119	68.3680217937596	7.67390299222062	6.87677486104564	6.38200392929582
ENSG00000073169	SELO	60.4405500355876	74.4489888337495	32.6996147509557	71.9225256898694	33.6356889828096	70.2647851738946
ENSG00000075218	GTSE1	2.8464818117413	6.45100532521878	7.20156937926739	128.961266668666	86.5316889000972	106.720931176713
ENSG00000075234	TTC38	33.265442627911	35.361497662532	19.1154506101007	61.948684937773	78.8463812750015	84.5714382523162
ENSG00000075240	GRAMD4	51.4463550863404	108.626419878191	81.1008705051232	199.315348775813	137.122582638079	125.187321440335
ENSG00000075275	CELSR1	8.7773662017494	43.0092831199624	28.9990237485805	148.8818367024	71.365708173321	88.3266145993296
ENSG00000077935	SMC1B	2.14084158513508	0	3.72542369507602	6.30294269176937	9.82453859821393	8.20305746561826
ENSG00000077942	FBLN1	52.9872012300666	42.9737078345496	30.4939900145203	112.039958727865	87.0405002582984	110.211218137112
ENSG00000079974	RABL2B	87.5290345356254	59.1372943390385	46.0019470010438	76.0473923878926	57.3014945034254	46.7951311476717
ENSG00000093000	NUP50	127.882208150977	199.056496247445	139.149230917884	491.567275323777	234.465019852537	303.178052745657
ENSG00000093009	CDC45	2.83446563714618	0.60862589037911	0	223.528723998903	147.499843764681	143.52514225677
ENSG00000093010	COMT	100.104675576232	103.054709860463	91.5419578869885	196.964118018053	120.891262254233	198.377388577744
ENSG00000093072	CECR1	32.6837036173219	23.1386313944902	28.5790732778145	34.9399506976921	37.1817710881909	56.1773072348603
